Testing v8 version different from logging version
Statistical profiling result from typescript272-isolate-0x55f0275101c0-v8.log, (5169 ticks, 86 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   1831   35.4%          /usr/local/bin/node
   1419   27.5%          /lib/ld-musl-x86_64.so.1
    240    4.6%          [vdso]
      2    0.0%          /usr/lib/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
    201    3.9%   12.0%  LoadIC: A load IC from the snapshot
    138    2.7%    8.2%  Builtin: InterpreterEntryTrampoline
     60    1.2%    3.6%  Builtin: MapLookupHashIndex
     55    1.1%    3.3%  StoreIC: A store IC from the snapshot
     53    1.0%    3.2%  Builtin: CallFunction_ReceiverIsAny
     37    0.7%    2.2%  Builtin: LoadIC_Noninlined
     35    0.7%    2.1%  LazyCompile: *scan /app/node_modules/typescript/lib/tsc.js:4982:22
     29    0.6%    1.7%  LazyCompile: ~forEachChild /app/node_modules/typescript/lib/tsc.js:10519:26
     27    0.5%    1.6%  LazyCompile: ~resolveNameHelper /app/node_modules/typescript/lib/tsc.js:20425:35
     24    0.5%    1.4%  Builtin: Call_ReceiverIsAny
     23    0.4%    1.4%  Builtin: StringPrototypeCharCodeAt
     15    0.3%    0.9%  LoadIC: A load IC from the snapshot {1}
     13    0.3%    0.8%  Builtin: FastNewClosure
     12    0.2%    0.7%  LazyCompile: ~addTypeToUnion /app/node_modules/typescript/lib/tsc.js:25452:32
     12    0.2%    0.7%  LazyCompile: *getMinTypeArgumentCount /app/node_modules/typescript/lib/tsc.js:24652:41
     11    0.2%    0.7%  LazyCompile: ~checkTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:26788:36
     11    0.2%    0.7%  LazyCompile: *computeLineStarts /app/node_modules/typescript/lib/tsc.js:4131:31
     11    0.2%    0.7%  Builtin: ArgumentsAdaptorTrampoline
     10    0.2%    0.6%  LazyCompile: ~bindWorker /app/node_modules/typescript/lib/tsc.js:17309:28
     10    0.2%    0.6%  Builtin: StringPrototypeSubstring
      9    0.2%    0.5%  LazyCompile: ~checkSourceElement /app/node_modules/typescript/lib/tsc.js:37736:36
      9    0.2%    0.5%  LazyCompile: ~checkGrammarModifiers /app/node_modules/typescript/lib/tsc.js:39085:39
      9    0.2%    0.5%  LazyCompile: *createNode /app/node_modules/typescript/lib/tsc.js:11347:28
      9    0.2%    0.5%  Builtin: CallFunction_ReceiverIsNullOrUndefined
