Testing v8 version different from logging version
Statistical profiling result from typescript292-isolate-0x559bf4aac1c0-v8.log, (32866 ticks, 181 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  22067   67.1%          /lib/ld-musl-x86_64.so.1
   8242   25.1%          /usr/local/bin/node
    262    0.8%          [vdso]
     10    0.0%          /usr/lib/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
    255    0.8%   11.2%  LoadIC: A load IC from the snapshot
    156    0.5%    6.8%  Builtin: InterpreterEntryTrampoline
     67    0.2%    2.9%  Builtin: MapLookupHashIndex
     64    0.2%    2.8%  StoreIC: A store IC from the snapshot
     49    0.1%    2.1%  Builtin: CallFunction_ReceiverIsAny
     44    0.1%    1.9%  Builtin: LoadIC_Noninlined
     34    0.1%    1.5%  LazyCompile: ~resolveNameHelper /app/node_modules/typescript/lib/tsc.js:22320:35
     33    0.1%    1.4%  LazyCompile: *getAccessibleFileSystemEntries /app/node_modules/typescript/lib/tsc.js:3502:52
     31    0.1%    1.4%  LazyCompile: ~getEncodedRootLength /app/node_modules/typescript/lib/tsc.js:1790:34
     31    0.1%    1.4%  LazyCompile: *scan /app/node_modules/typescript/lib/tsc.js:5777:22
     30    0.1%    1.3%  LazyCompile: ~forEachChild /app/node_modules/typescript/lib/tsc.js:11780:26
     29    0.1%    1.3%  Builtin: Call_ReceiverIsAny
     22    0.1%    1.0%  KeyedLoadIC: A keyed load IC from the snapshot
     22    0.1%    1.0%  Builtin: StringPrototypeCharCodeAt
     21    0.1%    0.9%  LazyCompile: ~scan /app/node_modules/typescript/lib/tsc.js:5777:22
     19    0.1%    0.8%  LoadIC: A load IC from the snapshot {1}
     18    0.1%    0.8%  LazyCompile: *Stats fs.js:174:15
     18    0.1%    0.8%  Builtin: FastNewClosure
     16    0.0%    0.7%  Builtin: JSConstructStubGenericUnrestrictedReturn
     16    0.0%    0.7%  Builtin: ArgumentsAdaptorTrampoline
     15    0.0%    0.7%  Stub: StringAddStub
     15    0.0%    0.7%  LazyCompile: *checkSourceElement /app/node_modules/typescript/lib/tsc.js:41079:36
     14    0.0%    0.6%  LazyCompile: ~checkTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:29700:36
     14    0.0%    0.6%  Builtin: FastNewObject
     13    0.0%    0.6%  LazyCompile: *bind /app/node_modules/typescript/lib/tsc.js:18912:22
     12    0.0%    0.5%  Stub: GetPropertyStub
     12    0.0%    0.5%  Stub: CallApiCallbackStub
     12    0.0%    0.5%  Builtin: StringPrototypeReplace
     12    0.0%    0.5%  Builtin: CallFunction_ReceiverIsNullOrUndefined
     11    0.0%    0.5%  LazyCompile: *computeLineStarts /app/node_modules/typescript/lib/tsc.js:4925:31
     11    0.0%    0.5%  Builtin: StringPrototypeSubstring
     10    0.0%    0.4%  LazyCompile: ~watchChildDirectories /app/node_modules/typescript/lib/tsc.js:3120:39
     10    0.0%    0.4%  LazyCompile: ~compareSignaturesRelated /app/node_modules/typescript/lib/tsc.js:29443:42
     10    0.0%    0.4%  Builtin: StringEqual
     10    0.0%    0.4%  Builtin: LoadICProtoArray
      9    0.0%    0.4%  LazyCompile: ~fs.statSync fs.js:945:23
      9    0.0%    0.4%  Builtin: GrowFastSmiOrObjectElements
      8    0.0%    0.4%  LazyCompile: ~getSignatureFromDeclaration /app/node_modules/typescript/lib/tsc.js:27167:45
      8    0.0%    0.4%  LazyCompile: ~combinePaths /app/node_modules/typescript/lib/tsc.js:2001:26
      8    0.0%    0.4%  LazyCompile: *visitNode /app/node_modules/typescript/lib/tsc.js:11757:23
      8    0.0%    0.4%  LazyCompile: *nextJSDocToken /app/node_modules/typescript/lib/tsc.js:16908:40
      8    0.0%    0.4%  LazyCompile: *getTypeOfVariableOrParameterOrProperty /app/node_modules/typescript/lib/tsc.js:25276:56
      8    0.0%    0.4%  Builtin: RegExpReplace
      8    0.0%    0.4%  Builtin: KeyedLoadIC_Megamorphic
      8    0.0%    0.4%  Builtin: FastArrayPush
      7    0.0%    0.3%  LazyCompile: ~realpathSync fs.js:1579:40
      7    0.0%    0.3%  LazyCompile: ~getTypeOfVariableOrParameterOrProperty /app/node_modules/typescript/lib/tsc.js:25276:56
      7    0.0%    0.3%  LazyCompile: *isRelatedTo /app/node_modules/typescript/lib/tsc.js:29785:33
      7    0.0%    0.3%  LazyCompile: *getNodeLinks /app/node_modules/typescript/lib/tsc.js:22201:30
      7    0.0%    0.3%  KeyedStoreIC: A keyed store IC from the snapshot
      7    0.0%    0.3%  Builtin: MapSet
      7    0.0%    0.3%  Builtin: InstanceOf
      7    0.0%    0.3%  Builtin: Call_ReceiverIsNullOrUndefined
      6    0.0%    0.3%  LazyCompile: ~structuredTypeRelatedTo /app/node_modules/typescript/lib/tsc.js:30178:45
      6    0.0%    0.3%  LazyCompile: ~declareSymbol /app/node_modules/typescript/lib/tsc.js:17647:31
      6    0.0%    0.3%  LazyCompile: ~checkVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:39419:46
      6    0.0%    0.3%  LazyCompile: ~addTypeToUnion /app/node_modules/typescript/lib/tsc.js:28009:32
      6    0.0%    0.3%  LazyCompile: *realpathSync fs.js:1579:40
      6    0.0%    0.3%  LazyCompile: *declareSymbol /app/node_modules/typescript/lib/tsc.js:17647:31
      6    0.0%    0.3%  Builtin: KeyedStoreIC_Megamorphic_Strict
      5    0.0%    0.2%  LazyCompile: ~watchPresentFileSystemEntry /app/node_modules/typescript/lib/tsc.js:3420:53
      5    0.0%    0.2%  LazyCompile: ~resolveObjectTypeMembers /app/node_modules/typescript/lib/tsc.js:26208:42
      5    0.0%    0.2%  LazyCompile: ~parseJSDocCommentWorker /app/node_modules/typescript/lib/tsc.js:16286:45
      5    0.0%    0.2%  LazyCompile: ~mapDefined /app/node_modules/typescript/lib/tsc.js:664:24
      5    0.0%    0.2%  LazyCompile: ~getTypeFromTypeReference /app/node_modules/typescript/lib/tsc.js:27793:42
      5    0.0%    0.2%  LazyCompile: ~getApparentType /app/node_modules/typescript/lib/tsc.js:26897:33
      5    0.0%    0.2%  LazyCompile: ~bindWorker /app/node_modules/typescript/lib/tsc.js:18971:28
      5    0.0%    0.2%  LazyCompile: ~bindContainer /app/node_modules/typescript/lib/tsc.js:17738:31
      5    0.0%    0.2%  LazyCompile: ~bindChildrenWorker /app/node_modules/typescript/lib/tsc.js:17859:36
      5    0.0%    0.2%  LazyCompile: ~addDeclarationToSymbol /app/node_modules/typescript/lib/tsc.js:17575:40
      5    0.0%    0.2%  LazyCompile: *getTypeFromTypeNode /app/node_modules/typescript/lib/tsc.js:28944:37
      5    0.0%    0.2%  LazyCompile: *checkVariableLikeDeclaration /app/node_modules/typescript/lib/tsc.js:39419:46
      5    0.0%    0.2%  LazyCompile: *addTypeToUnion /app/node_modules/typescript/lib/tsc.js:28009:32
      5    0.0%    0.2%  Builtin: CompileLazy
      4    0.0%    0.2%  Stub: StringAddStub {1}
      4    0.0%    0.2%  LazyCompile: ~sort native array.js:748:46
      4    0.0%    0.2%  LazyCompile: ~parseTagComments /app/node_modules/typescript/lib/tsc.js:16474:42
      4    0.0%    0.2%  LazyCompile: ~parsePostfixTypeOrHigher /app/node_modules/typescript/lib/tsc.js:13898:42
      4    0.0%    0.2%  LazyCompile: ~isRelatedTo /app/node_modules/typescript/lib/tsc.js:29785:33
      4    0.0%    0.2%  LazyCompile: ~getTypeReferenceTypeWorker /app/node_modules/typescript/lib/tsc.js:27685:44
      4    0.0%    0.2%  LazyCompile: ~getTypeReferenceType /app/node_modules/typescript/lib/tsc.js:27652:38
      4    0.0%    0.2%  LazyCompile: ~getTypeFromTypeNode /app/node_modules/typescript/lib/tsc.js:28944:37
      4    0.0%    0.2%  LazyCompile: ~getSymbol /app/node_modules/typescript/lib/tsc.js:22208:27
      4    0.0%    0.2%  LazyCompile: ~getSingleCallSignature /app/node_modules/typescript/lib/tsc.js:35441:40
      4    0.0%    0.2%  LazyCompile: ~getResolvedMembersOrExportsOfSymbol /app/node_modules/typescript/lib/tsc.js:26149:53
      4    0.0%    0.2%  LazyCompile: ~getPathComponents /app/node_modules/typescript/lib/tsc.js:1894:31
      4    0.0%    0.2%  LazyCompile: ~getEffectiveTypeParameterDeclarations /app/node_modules/typescript/lib/tsc.js:9052:51
      4    0.0%    0.2%  LazyCompile: ~getDeclaredTypeOfClassOrInterface /app/node_modules/typescript/lib/tsc.js:25804:51
      4    0.0%    0.2%  LazyCompile: ~getDeclarationName /app/node_modules/typescript/lib/tsc.js:17593:36
      4    0.0%    0.2%  LazyCompile: ~fsWatch /app/node_modules/typescript/lib/tsc.js:3402:29
      4    0.0%    0.2%  LazyCompile: ~fs.watch fs.js:1392:20
      4    0.0%    0.2%  LazyCompile: ~fileSystemEntryExists /app/node_modules/typescript/lib/tsc.js:3536:43
      4    0.0%    0.2%  LazyCompile: ~createPrinter /app/node_modules/typescript/lib/tsc.js:59850:27
      4    0.0%    0.2%  LazyCompile: ~computeLineStarts /app/node_modules/typescript/lib/tsc.js:4925:31
      4    0.0%    0.2%  LazyCompile: ~bindPropertyOrMethodOrAccessor /app/node_modules/typescript/lib/tsc.js:19484:48
      4    0.0%    0.2%  LazyCompile: *getMinTypeArgumentCount /app/node_modules/typescript/lib/tsc.js:27132:41
      4    0.0%    0.2%  LazyCompile: *append /app/node_modules/typescript/lib/tsc.js:950:20
      4    0.0%    0.2%  LazyCompile: *<anonymous> /app/node_modules/typescript/lib/tsc.js:26895:102
      4    0.0%    0.2%  LazyCompile: *<anonymous> /app/node_modules/typescript/lib/tsc.js:16302:67
      3    0.0%    0.1%  LazyCompile: ~resolveEntityName /app/node_modules/typescript/lib/tsc.js:22973:35
      3    0.0%    0.1%  LazyCompile: ~propertiesRelatedTo /app/node_modules/typescript/lib/tsc.js:30362:41
      3    0.0%    0.1%  LazyCompile: ~parseObjectTypeMembers /app/node_modules/typescript/lib/tsc.js:13683:40
      3    0.0%    0.1%  LazyCompile: ~join native array.js:287:46
      3    0.0%    0.1%  LazyCompile: ~instantiateType /app/node_modules/typescript/lib/tsc.js:29289:33
      3    0.0%    0.1%  LazyCompile: ~instantiateList /app/node_modules/typescript/lib/tsc.js:29026:33
      3    0.0%    0.1%  LazyCompile: ~getTypeOfInstantiatedSymbol /app/node_modules/typescript/lib/tsc.js:25463:45
      3    0.0%    0.1%  LazyCompile: ~getTypeListId /app/node_modules/typescript/lib/tsc.js:27523:31
      3    0.0%    0.1%  LazyCompile: ~getTypeFromClassOrInterfaceReference /app/node_modules/typescript/lib/tsc.js:27579:54
      3    0.0%    0.1%  LazyCompile: ~getPathFromURL internal/url.js:1371:24
      3    0.0%    0.1%  LazyCompile: ~getEffectiveTypeAnnotationNode /app/node_modules/typescript/lib/tsc.js:9037:44
      3    0.0%    0.1%  LazyCompile: ~getAccessibleFileSystemEntries /app/node_modules/typescript/lib/tsc.js:3502:52
      3    0.0%    0.1%  LazyCompile: ~fs.readdirSync fs.js:900:26
      3    0.0%    0.1%  LazyCompile: ~finishNode /app/node_modules/typescript/lib/tsc.js:12706:28
      3    0.0%    0.1%  LazyCompile: ~fillMissingTypeArguments /app/node_modules/typescript/lib/tsc.js:27143:42
      3    0.0%    0.1%  LazyCompile: ~createInstantiatedSymbolTable /app/node_modules/typescript/lib/tsc.js:26043:47
      3    0.0%    0.1%  LazyCompile: ~checkTypeReferenceNode /app/node_modules/typescript/lib/tsc.js:38222:40
      3    0.0%    0.1%  LazyCompile: ~checkParameter /app/node_modules/typescript/lib/tsc.js:37763:32
      3    0.0%    0.1%  LazyCompile: ~checkGrammarParameterList /app/node_modules/typescript/lib/tsc.js:42792:43
      3    0.0%    0.1%  LazyCompile: ~checkFunctionOrConstructorSymbol /app/node_modules/typescript/lib/tsc.js:38343:50
      3    0.0%    0.1%  LazyCompile: ~checkExpression /app/node_modules/typescript/lib/tsc.js:37623:33
      3    0.0%    0.1%  LazyCompile: ~assert /app/node_modules/typescript/lib/tsc.js:2558:24
      3    0.0%    0.1%  LazyCompile: ~_addListener events.js:233:22
      3    0.0%    0.1%  LazyCompile: ~FSWatcher.start fs.js:1370:37
      3    0.0%    0.1%  LazyCompile: ~EventEmitter events.js:27:22
      3    0.0%    0.1%  LazyCompile: *visitNodes /app/node_modules/typescript/lib/tsc.js:11760:24
      3    0.0%    0.1%  LazyCompile: *resolveNameHelper /app/node_modules/typescript/lib/tsc.js:22320:35
      3    0.0%    0.1%  LazyCompile: *iterateCommentRanges /app/node_modules/typescript/lib/tsc.js:5172:34
      3    0.0%    0.1%  LazyCompile: *getMembersOfSymbol /app/node_modules/typescript/lib/tsc.js:26174:36
      3    0.0%    0.1%  LazyCompile: *forEachChild /app/node_modules/typescript/lib/tsc.js:11780:26
