Testing v8 version different from logging version
Statistical profiling result from isolate-0x55df67c161c0-v8.log, (31154 ticks, 186 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  20847   66.9%          /lib/ld-musl-x86_64.so.1
   7893   25.3%          /usr/local/bin/node
    234    0.8%          [vdso]
      5    0.0%          /usr/lib/libstdc++.so.6.0.22

 [JavaScript]:
   ticks  total  nonlib   name
    289    0.9%   13.3%  LoadIC: A load IC from the snapshot
    168    0.5%    7.7%  Builtin: InterpreterEntryTrampoline
     56    0.2%    2.6%  Builtin: MapLookupHashIndex
     56    0.2%    2.6%  Builtin: CallFunction_ReceiverIsAny
     47    0.2%    2.2%  StoreIC: A store IC from the snapshot
     38    0.1%    1.7%  LazyCompile: *scan /app/node_modules/typescript/lib/tsc.js:4765:22
     36    0.1%    1.7%  Builtin: LoadIC_Noninlined
     28    0.1%    1.3%  LazyCompile: ~forEachChild /app/node_modules/typescript/lib/tsc.js:11991:26
     23    0.1%    1.1%  LoadIC: A load IC from the snapshot {1}
     22    0.1%    1.0%  Builtin: LoadICProtoArray
     21    0.1%    1.0%  LazyCompile: ~resolveNameHelper /app/node_modules/typescript/lib/tsc.js:24513:35
     20    0.1%    0.9%  Builtin: StringPrototypeCharCodeAt
     19    0.1%    0.9%  LazyCompile: ~getEncodedRootLength /app/node_modules/typescript/lib/tsc.js:11165:34
     19    0.1%    0.9%  LazyCompile: *getAccessibleFileSystemEntries /app/node_modules/typescript/lib/tsc.js:2438:52
     18    0.1%    0.8%  Builtin: Call_ReceiverIsAny
     16    0.1%    0.7%  Builtin: FastNewClosure
     14    0.0%    0.6%  Stub: StringAddStub
     14    0.0%    0.6%  Stub: GetPropertyStub
     14    0.0%    0.6%  LazyCompile: ~scan /app/node_modules/typescript/lib/tsc.js:4765:22
     14    0.0%    0.6%  Builtin: StringPrototypeSubstring
     13    0.0%    0.6%  LazyCompile: *nextJSDocToken /app/node_modules/typescript/lib/tsc.js:17096:40
     13    0.0%    0.6%  Builtin: FastNewObject
     13    0.0%    0.6%  Builtin: FastArrayPush
     12    0.0%    0.6%  KeyedLoadIC: A keyed load IC from the snapshot
     12    0.0%    0.6%  Builtin: KeyedLoadIC_Megamorphic
